n,threads,w,p
16,1,0.0396959,1
16,2,0.0219676,0.9035101695
16,3,0.0185662,0.7126911628
16,4,0.0175581,0.5652077958
32,1,0.104298,1
32,2,0.0593786,0.8782456979
32,3,0.0435724,0.7978904077
32,4,0.0357998,0.7283420578
64,1,0.392809,1
64,2,0.207923,0.9446020883
64,3,0.145348,0.9008471622
64,4,0.112303,0.8744401307
128,1,1.51539,1
128,2,0.782109,0.9687844022
128,3,0.536743,0.9411021662
128,4,0.413229,0.9167979498
256,1,5.92418,1
256,2,3.02093,0.9805225543
256,3,2.06863,0.9546060275
256,4,1.55942,0.9497409293
512,1,11.376,1
512,2,5.75272,0.9887496697
512,3,3.92498,0.9661195726
512,4,2.96527,0.9591032183
1024,1,45.2064,1
1024,2,23.0482,0.9806926354
1024,3,15.5863,0.9667977647
1024,4,11.8445,0.9541643801